El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
S,2.323894154,45,24.8927,15.24042857,37.33905,370.9146447,5.33415,SK$\alpha\4,SK$\alpha\4,170.8490048,14.87611554,57.98664441,16
K,0.294441805,,196.4666667,120.2857143,294.7,2927.45921,42.1,"Al2,3","Al2,3",1348.432853,117.4103586,457.6619948,19
Ca,3.689856764,150,15.67757333,9.598514286,23.51636,233.6042914,3.35948,"K$\alpha$1,2","K_1,2",107.6017387,9.369067729,36.5203401,20
Sc,4.088390501,150,14.14933333,8.662857143,21.224,210.8326918,3.032,"K$\alpha$1,2","K_1,2",97.11278884,8.455776892,32.96036029,21
Sc,0.399613153,10,144.76,88.62857143,217.14,2157.002012,31.02,L$\beta$1,L$\beta$1,993.5483871,86.50996016,337.2131848,21
Ti,4.504098599,50,12.84341333,7.863314286,19.26512,191.37378,2.75216,K$\alpha$2,K_2,88.14971402,7.675346614,29.91826688,22
V,0.446380987,1,129.5933333,79.34285714,194.39,1931.010505,27.77,L$\iota$,L_,889.4532144,77.44621514,301.8829833,23
Cr,0.692513966,,83.53333333,51.14285714,125.3,1244.691683,17.9,Al2,Al2,573.3241821,49.92031873,194.587879,24
Cr,0.59884058,,96.6,59.14285714,144.9,1439.392058,20.7,Al3,Al3,663.0061771,57.72908367,225.0262065,24
Fe,0.62764557,2,92.16666667,56.42857143,138.25,1373.333002,19.75,L$\eta$,L$\eta$,632.5783574,55.07968127,214.6989168,26
Ni,0.759093693,3,76.20666667,46.65714286,114.31,1135.520401,16.33,L$\eta$,L$\eta$,523.0382064,45.54183267,177.520674,28
Cu,1.022603531,1,56.56933333,34.63428571,84.854,842.913552,12.122,"L$\beta$3,4","L_3,4",388.2589796,33.8063745,131.7762162,29
As,11.72420316,15,4.934066667,3.020857143,7.4011,73.52025232,1.0573,K$\beta$1,K_1,33.86456189,2.948645418,11.49372986,33
Rb,15.2004905,,3.805666667,2.33,5.7085,56.70648422,0.8155,AK,AK,26.11988103,2.274302789,8.865162868,37
Sr,1.806259836,100,32.0264,19.608,48.0396,477.2106191,6.8628,L$\alpha$1,L_1,219.8105697,19.13928287,74.60434057,38
Sr,1.901489469,3,30.42246667,18.626,45.6337,453.3111481,6.5191,L$\beta$6,L_6,208.8021048,18.18075697,70.86803587,38
Sr,2.008099789,,28.80733333,17.63714286,43.211,429.244791,6.173,Al2,Al2,197.7167696,17.21553785,67.10564118,38
Y,1.685086253,3,34.3294,21.018,51.4941,511.5265602,7.3563,L$\iota$,L_,235.6170213,20.51557769,79.96909578,39
Y,2.376078206,,24.346,14.90571429,36.519,362.7685201,5.217,Al1,Al1,167.0967742,14.54940239,56.71312653,39
Zr,17.65107934,9,3.277306667,2.006514286,4.91596,48.83363548,0.70228,K$\beta$3,K_3,22.49352551,1.958549801,7.634367356,40
Nb,16.61216832,100,3.482266667,2.132,5.2234,51.88764994,0.7462,K$\alpha$1,K_1,23.90025166,2.081035857,8.111814264,41
Nb,18.61820366,,3.107066667,1.902285714,4.6606,46.29696774,0.6658,K$\beta$1,K_1,21.32509723,1.856812749,7.237799433,41
Nb,1.995846013,1,28.9842,17.74542857,43.4763,431.8801997,6.2109,L$\eta$,L$\eta$,198.9306795,17.32123506,67.51764569,41
Mo,17.37131967,50,3.330086667,2.038828571,4.99513,49.62008593,0.71359,K$\alpha$2,K_2,22.85577671,1.990091633,7.757316458,42
Mo,2.517874553,1,22.97493333,14.06628571,34.4624,342.3388879,4.9232,"L$\beta$2,15","L$\beta$2,15",157.6865706,13.73003984,53.51927631,42
Mo,2.455236888,3,23.56106667,14.42514286,35.3416,351.0725905,5.0488,L$\beta$6,L_6,161.7094486,14.08031873,54.88465272,42
Mo,0.179912917,1,321.5333333,196.8571429,482.3,4791.019942,68.9,M2-M4,M2-M4,2206.817662,192.1513944,749.0002718,42
Mg,1.26389587,8,45.76959333,28.0222,68.65439,681.991606,9.80777,SK$\alpha\4,SK$\alpha\4,314.1358499,27.35234661,106.6186124,12
Si,1.751646585,6,33.02492667,20.21934286,49.53739,492.0892046,7.07677,SK$\alpha\3,SK$\alpha\3,226.6638755,19.73601195,76.93037233,14
Si,1.763400478,,32.8048,20.08457143,49.2072,488.8091986,7.0296,SK$\alpha\5,SK$\alpha\5,225.1530542,19.60446215,76.41759522,14
Cl,2.631288474,4,21.98466667,13.46,32.977,327.5833809,4.711,SK$\alpha\3,SK$\alpha\3,150.8899565,13.13824701,51.21248593,17
Ar,2.956510955,150,19.56630667,11.97937143,29.34946,291.5485137,4.19278,"K$\alpha$1,2","K_1,2",134.291741,11.69301195,45.57900377,18
K,3.588986363,15,16.1182,9.868285714,24.1773,240.1698661,3.4539,"K$\beta$1,3","K$\beta$1,3",110.6259437,9.632390438,37.54676399,19
Ca,3.687463932,50,15.68774667,9.604742857,23.53162,233.7558795,3.36166,K$\alpha$2,K_2,107.6715626,9.37514741,36.54403851,20
Ti,0.395280612,1,146.3466667,89.6,219.52,2180.6442,31.36,L$\iota$,L_,1004.438344,87.45816733,340.9092674,22
V,0.511175258,100,113.1666667,69.28571429,169.75,1686.244319,24.25,"L$\alpha$1,2","L$\alpha$1,2",776.710135,67.62948207,263.6176573,23
Cr,5.945694456,18,9.729393333,5.956771429,14.59409,144.9732039,2.08487,"K$\beta$1,3","K$\beta$1,3",66.77689316,5.814378486,22.66426991,24
Cr,5.985803274,,9.6642,5.916857143,14.4963,144.0017881,2.0709,K$\beta$5,K$\beta$5,66.32944406,5.775418327,22.51240439,24
Cr,0.582792666,20,99.26,60.77142857,148.89,1479.027491,21.27,L$\beta$1,L$\beta$1,681.2628689,59.3187251,231.2225803,24
Mn,6.536595655,,8.849866667,5.418285714,13.2748,131.8677826,1.8964,AK,AK,60.74033402,5.28876494,20.61544435,25
Ni,7.471115424,150,7.742886667,4.740542857,11.61433,115.373184,1.65919,"K$\alpha$1,2","K_1,2",53.14266758,4.627223108,18.03677447,28
Cu,8.039744721,150,7.195253333,4.405257143,10.79288,107.2131522,1.54184,"K$\alpha$1,2","K_1,2",49.38403111,4.299952191,16.76108242,29
Cu,0.929514097,100,62.23466667,38.10285714,93.352,927.3300718,13.336,"L$\alpha$1,2","L$\alpha$1,2",427.1425303,37.19203187,144.9734053,29
Cu,0.077717868,,744.3333333,455.7142857,1116.5,11090.96779,159.5,Am2,Am2,5108.670785,444.8207171,1733.897581,29
Zn,1.011588053,100,57.18533333,35.01142857,85.778,852.092284,12.254,"L$\alpha$1,2","L$\alpha$1,2",392.4868451,34.17450199,133.2111659,30
Zn,0.881963714,4,65.59,40.15714286,98.385,977.3263466,14.055,L$\iota$,L_,450.1715854,39.19721116,152.7895329,30
Ga,0.98404382,1,58.786,35.99142857,88.179,875.9430799,12.597,L$\eta$,L$\eta$,403.4728895,35.1310757,136.939861,31
As,11.86220096,,4.876666667,2.985714286,7.315,72.66496138,1.045,AK,AK,33.47060169,2.914342629,11.36001864,33
Se,11.17945203,50,5.174493333,3.168057143,7.76174,77.10273922,1.10882,K$\alpha$2,K_2,35.51471059,3.092326693,12.05379508,34
Se,12.48740783,8,4.632506667,2.836228571,6.94876,69.0268458,0.99268,K$\beta$3,K_3,31.79482956,2.768430279,10.79125675,34
Se,1.474485548,,39.23266667,24.02,58.849,584.5878759,8.407,Al2,Al2,269.2701899,23.44581673,91.39107815,34
Br,13.46805737,,4.2952,2.629714286,6.4428,64.0007947,0.9204,AK,AK,29.47975292,2.56685259,10.00551306,35
Br,1.55260521,,37.25866667,22.81142857,55.888,555.1742121,7.984,Al3,Al3,255.7218028,22.26613546,86.79271654,35
Kr,12.64768901,100,4.5738,2.800285714,6.8607,68.15208483,0.9801,K$\alpha$1,K_1,31.39190117,2.733346614,10.65450169,36
Kr,1.585774594,100,36.47933333,22.33428571,54.719,543.5617255,7.817,"L$\alpha$1,2","L$\alpha$1,2",250.3729124,21.80039841,84.97728773,36
Rb,1.826271436,3,31.67546667,19.39314286,47.5132,471.9815233,6.7876,L$\beta$3,L_3,217.4019675,18.92956175,73.78685406,37
Rb,1.482136879,3,39.03013333,23.896,58.5452,581.5700201,8.3636,L$\iota$,L_,267.880119,23.32478088,90.91928408,37
Rb,1.541503451,1,37.527,22.97571429,56.2905,559.1725234,8.0415,L$\eta$,L$\eta$,257.5634866,22.42649402,87.41778934,37
Y,1.920133833,10,30.12706667,18.44514286,45.1906,448.9095289,6.4558,L$\alpha$2,L_2,206.7746511,18.00422311,70.17991226,39
Nb,2.165504953,100,26.7134,16.35514286,40.0701,398.0440559,5.7243,L$\alpha$1,L_1,183.3452299,15.96418327,62.22789921,41
Nb,0.171713534,1,336.8866667,206.2571429,505.33,5019.792883,72.19,MZ,MZ,2312.194006,201.3266932,784.7653065,41
Mo,2.523101974,,22.92733333,14.03714286,34.391,341.6296223,4.913,Al3,Al3,157.3598719,13.70159363,53.40839383,42
Si,0.100780488,,574,351.4285714,861,8552.90933,123,"Al2,3","Al2,3",3939.601922,343.0278884,1337.112241,14
Si,1.818742022,,31.8066,19.47342857,47.7099,473.9354807,6.8157,SK$\beta$+,SK_+,218.3019904,19.00792829,74.09232442,14
P,0.13187234,,438.6666667,268.5714286,658,6536.369732,94,"Al2,3","Al2,3",3010.752688,262.1513944,1021.858136,15
S,2.463629859,7,23.4808,14.376,35.2212,349.8765739,5.0316,K$\beta$1,K_1,161.158545,14.0323506,54.69767442,16
S,2.315581043,,24.98206667,15.29514286,37.4731,372.2462562,5.3533,SK$\alpha$+,SK_+,171.4623656,14.92952191,58.19482083,16
