El,Energy (keV),I,LDE1,LDE2,LDE4,LIF,Lambda (A),Line,Line old,PET,STE,TAP,Z
Os,10.78541411,7,5.36354,3.2838,8.04531,79.91963643,1.14933,L$\beta$7,L$\beta$7,36.81221688,3.205302789,12.49417246,76
Os,12.49773153,2,4.62868,2.833885714,6.94302,68.96982641,0.99186,LG3,LG3,31.76856555,2.766143426,10.78234266,76
Os,1.910015408,100,30.28666667,18.54285714,45.43,451.2876549,6.49,MA,MA,207.8700526,18.09960159,70.55169468,76
Os,2.181626188,1,26.516,16.23428571,39.774,395.1026895,5.682,Mg,Mg,181.9903912,15.84621514,61.76806305,76
Os,1.491696751,1,38.78,23.74285714,58.17,577.8428987,8.31,MZ1,MZ1,266.1633493,23.1752988,90.33660752,76
Ir,10.91850756,20,5.29816,3.243771429,7.94724,78.94543919,1.13532,L$\beta$2,L$\beta$2,36.36348662,3.166231076,12.34187211,77
Pt,2.779372197,1,20.81333333,12.74285714,31.22,310.129883,4.46,M1-N3,M1-N3,142.8506063,12.43824701,48.48390729,78
Pt,2.330513254,3,24.822,15.19714286,37.233,369.8611766,5.319,Mg,Mg,170.3637612,14.83386454,57.82195131,78
Au,13.37938478,10,4.323666667,2.647142857,6.4855,64.42496337,0.9265,LG1,LG1,29.67513155,2.583864542,10.07182513,79
Hg,9.895899859,10,5.845653333,3.578971429,8.76848,87.10338491,1.25264,L$\alpha$2,L_2,40.12116221,3.493418327,13.61723803,80
Hg,2.282116425,50,25.3484,15.51942857,38.0226,377.7048203,5.4318,MB,MB,173.9766644,15.14844622,59.04818108,80
Tl,2.361592684,55,24.49533333,14.99714286,36.743,364.9936673,5.249,MB,MB,168.1217113,14.63864542,57.06099313,81
Pb,2.501715439,,23.12333333,14.15714286,34.685,344.5501279,4.955,Am5,Am5,158.7051018,13.8187251,53.86496875,82
Bi,13.20760748,6,4.3799,2.681571429,6.56985,65.26287034,0.93855,L$\beta$3,L_3,30.06108442,2.61747012,10.20281865,83
Po,15.74135216,10,3.674906667,2.249942857,5.51236,54.75808975,0.78748,LG1,LG1,25.2224205,2.196159363,8.560562177,84
Ra,14.80614414,1,3.907026667,2.392057143,5.86054,58.21680284,0.83722,L$\beta$15,L$\beta$15,26.81555708,2.334876494,9.101277323,88
Th,2.995577681,100,19.31113333,11.82314286,28.9667,287.7462935,4.1381,MA1,MA1,132.5403798,11.54051793,44.98458671,90
Th,4.04041721,,14.31733333,8.765714286,21.476,213.3359823,3.068,Am3,Am3,98.26584306,8.556175299,33.35171021,90
Pa,16.63446055,1,3.4776,2.129142857,5.2164,51.81811409,0.7452,L$\beta$5,L_5,23.86822237,2.078247012,8.100943433,91
Pa,3.072118959,100,18.83,11.52857143,28.245,280.5771475,4.035,MA2,MA2,129.2381606,11.25298805,43.86380401,91
Pa,4.080315997,1,14.17733333,8.68,21.266,211.2499069,3.038,"M3-O4,5","M3-O4,5",97.30496454,8.47250996,33.02558528,91
Np,13.94171831,100,4.149273333,2.540371429,6.22391,61.82640872,0.88913,L$\alpha$1,L_1,28.47819721,2.479645418,9.665582172,93
Np,16.8371297,20,3.43574,2.103514286,5.15361,51.19437753,0.73623,L$\beta$2,L$\beta$2,23.5809197,2.053231076,8.003432077,93
Pu,18.04892254,,3.205066667,1.962285714,4.8076,47.75722055,0.6868,Al3,Al3,21.99771219,1.915378486,7.466086889,94
Am,14.61465002,100,3.95822,2.4234,5.93733,58.9796111,0.84819,L$\alpha$1,L_1,27.16691833,2.36547012,9.220530341,95
Ho,8.745590518,5,6.614533333,4.049714286,9.9218,98.56011126,1.4174,LG1,LG1,45.39830702,3.952908367,15.40831619,67
Ho,8.914778857,,6.489,3.972857143,9.7335,96.68959694,1.3905,Al2,Al2,44.53671929,3.877888446,15.11589083,67
Tm,8.647969862,,6.6892,4.095428571,10.0338,99.67268483,1.4334,Al3,Al3,45.91077557,3.99752988,15.58224949,69
Lu,9.038279256,20,6.400333333,3.918571429,9.6005,95.36841582,1.3715,L$\beta$15,L$\beta$15,43.92816289,3.824900398,14.90934503,71
Lu,1.831560284,1,31.584,19.33714286,47.376,470.6186207,6.768,Mg,Mg,216.7741935,18.8749004,73.57378577,71
Hf,9.345667564,20,6.18982,3.789685714,9.28473,92.23165371,1.32639,L$\beta$2,L$\beta$2,42.48332189,3.699095618,14.41896184,72
Ta,1.765057668,45,32.774,20.06571429,49.161,488.350262,7.023,MB,MB,224.9416609,19.58605578,76.34584773,73
Ta,2.193982301,,26.36666667,16.14285714,39.55,392.8775424,5.65,Am3,Am3,180.9654541,15.75697211,61.42019645,73
W,1.814934114,,31.87333333,19.51428571,47.81,474.9298433,6.83,Am5,Am5,218.7600092,19.04780876,74.2477773,74
Re,10.27349577,20,5.6308,3.447428571,8.4462,83.90195445,1.2066,L$\beta$2,L$\beta$2,38.64653397,3.36501992,13.11674496,75
Re,2.106372133,1,27.46333333,16.81428571,41.195,409.2184667,5.885,Mg,Mg,188.4923358,16.4123506,63.97484179,75
Os,8.910229225,100,6.492313333,3.974885714,9.73847,96.73896739,1.39121,L$\alpha$1,L_1,44.55946008,3.879868526,15.12360912,76
Ir,1.975458167,100,29.28333333,17.92857143,43.925,436.3374475,6.275,MA2,MA2,200.9837566,17.5,68.21446597,77
Ir,2.909859155,,19.88,12.17142857,29.82,296.2227134,4.26,Am2,Am2,136.4447495,11.88047809,46.30974104,77
Pt,11.23253412,6,5.15004,3.153085714,7.72506,76.73837137,1.10358,L$\beta$3,L_3,35.34687714,3.077713147,11.99683193,78
Pt,13.35905422,2,4.330246667,2.651171429,6.49537,64.52300892,0.92791,LG3,LG3,29.72029284,2.587796813,10.08715301,78
Pt,1.601964332,2,36.11066667,22.10857143,54.166,538.0683935,7.738,MZ1,MZ1,247.8425989,21.58007968,84.11849206,78
Au,11.20279076,4,5.163713333,3.161457143,7.74557,76.94211141,1.10651,L$\beta$4,L_4,35.44072295,3.085884462,12.02868346,79
Au,2.117526478,100,27.31866667,16.72571429,40.978,407.0628554,5.854,MA2,MA2,187.499428,16.32589641,63.63784602,79
Au,2.21991404,,26.05866667,15.95428571,39.088,388.2881764,5.584,Am5,Am5,178.8515214,15.57290837,60.70272159,79
Hg,11.99326612,6,4.823373333,2.953085714,7.23506,71.870862,1.03358,L$\beta$3,L_3,33.10482727,2.882494024,11.23587374,80
Tl,10.17107692,10,5.6875,3.482142857,8.53125,84.74681501,1.21875,L$\alpha$2,L_2,39.03568977,3.398904382,13.24882556,81
Tl,14.73433971,2,3.926066667,2.403714286,5.8891,58.5005091,0.8413,LG3,LG3,26.94623656,2.34625498,9.145630314,81
Tl,14.69765236,,3.935866667,2.409714286,5.9038,58.64653438,0.8434,Al2,Al2,27.01349806,2.352111554,9.16845906,81
Tl,2.570184532,3,22.50733333,13.78,33.761,335.3713959,4.823,Mg,Mg,154.4772363,13.45059761,52.43001902,81
Pb,2.339309304,100,24.72866667,15.14,37.093,368.4704597,5.299,MA2,MA2,169.7231755,14.77808765,57.60453469,82
Pb,1.822405175,1,31.74266667,19.43428571,47.614,472.9828395,6.802,MZ2,MZ2,217.8631892,18.96972112,73.94339403,82
Pb,2.173211781,1,26.61866667,16.29714286,39.928,396.6324782,5.704,M3-N1,M3-N1,182.6950355,15.90756972,62.00722134,82
Bi,12.97765866,20,4.457506667,2.729085714,6.68626,66.4192515,0.95518,L$\beta$2,L$\beta$2,30.59373141,2.663848606,10.38360057,83
Bi,2.23875745,1,25.83933333,15.82,38.759,385.0199916,5.537,M3-N1,M3-N1,177.346145,15.44183267,60.19179252,83
At,11.42488479,100,5.063333333,3.1,7.595,75.44639531,1.085,L$\alpha$1,L_1,34.75177305,3.025896414,11.79485188,85
Rn,11.72497943,100,4.93374,3.020657143,7.40061,73.51538481,1.05723,L$\alpha$1,L_1,33.86231984,2.948450199,11.4929689,86
Fr,12.02922881,100,4.808953333,2.944257143,7.21343,71.65599623,1.03049,L$\alpha$1,L_1,33.00585678,2.873876494,11.20228287,87
Fr,14.76769121,50,3.9172,2.398285714,5.8758,58.36839099,0.8394,L$\beta$1,L$\beta$1,26.88538092,2.340956175,9.124975735,87
Ra,12.19406626,10,4.743946667,2.904457143,7.11592,70.68736186,1.01656,L$\alpha$2,L_2,32.55968886,2.835027888,11.0508522,88
Th,4.734912147,1,12.21733333,7.48,18.326,182.0448506,2.618,M2-O4,M2-O4,83.85266529,7.301195219,28.45983616,90
Pa,2.434406913,1,23.76266667,14.54857143,35.644,354.0765391,5.092,MZ1,MZ1,163.0931137,14.20079681,55.35427262,91
Pa,3.615048119,,16.002,9.797142857,24.003,238.4384235,3.429,Am4,Am4,109.8284146,9.562948207,37.27608029,91
U,13.43652445,10,4.30528,2.635885714,6.45792,64.15099213,0.92256,L$\alpha$2,L_2,29.54893617,2.572876494,10.02899406,92
U,20.16363843,10,2.868926667,1.756485714,4.30339,42.74855341,0.61477,LG1,LG1,19.69064287,1.714498008,6.683060915,92
U,4.298196949,,13.45866667,8.24,20.188,200.5413862,2.884,Am3,Am3,92.37245482,8.043027888,31.35147727,92
U,3.544752645,,16.31933333,9.991428571,24.479,243.1668612,3.497,Am5,Am5,112.0064059,9.752589641,38.01529681,92
Np,17.05769839,4,3.391313333,2.076314286,5.08697,50.53239625,0.72671,L$\beta$4,L_4,23.27600092,2.026681275,7.899941763,93
Np,11.8872267,3,4.8664,2.979428571,7.2996,72.51198252,1.0428,L$\iota$,L_,33.40013727,2.908207171,11.33610281,93
Pu,22.24694903,,2.600266667,1.592,3.9004,38.74537462,0.5572,Al2,Al2,17.846717,1.553944223,6.057227162,94
Cm,14.95295537,100,3.868666667,2.368571429,5.803,57.64521817,0.829,L$\alpha$1,L_1,26.55227637,2.311952191,9.01191909,96
Bk,15.3037037,100,3.78,2.314285714,5.67,56.32403705,0.81,L$\alpha$1,L_1,25.94371997,2.258964143,8.805373297,97
Er,6.151861042,2,9.403333333,5.757142857,14.105,140.1147341,2.015,L$\iota$,L_,64.53900709,5.619521912,21.90472493,68
Tm,7.178596247,100,8.0584,4.933714286,12.0876,120.0745027,1.7268,L$\alpha$1,L_1,55.30816747,4.815776892,18.77175137,69
Tm,7.131925666,10,8.111133333,4.966,12.1667,120.8602578,1.7381,L$\alpha$2,L_2,55.67009838,4.847290837,18.89459176,69
Tm,8.02433972,5,7.209066667,4.413714286,10.8136,107.4189783,1.5448,L$\beta$4,L_4,49.47883779,4.308207171,16.79326008,69
Lu,7.654167001,100,7.557713333,4.627171429,11.33657,112.6140015,1.61951,L$\alpha$1,L_1,51.8717456,4.516561753,17.60541989,71
Ta,9.341512306,50,6.192573333,3.791371429,9.28886,92.27267986,1.32698,L$\beta$1,L$\beta$1,42.50221917,3.700741036,14.42537563,73
Ta,1.963878327,1,29.456,18.03428571,44.184,438.9102739,6.312,Mg,Mg,202.1688401,17.60318725,68.61668673,73
W,9.670700026,50,5.98178,3.662314286,8.97267,89.1317456,1.28181,L$\beta$1,L$\beta$1,41.05545642,3.574768924,13.93434018,74
W,11.28396523,10,5.126566667,3.138714286,7.68985,76.38860605,1.09855,LG1,LG1,35.18576985,3.063685259,11.94215165,74
Os,10.17366469,4,5.686053333,3.481257143,8.52908,84.7252589,1.21844,L$\beta$4,L_4,39.0257607,3.398039841,13.2454556,76
Ir,12.83960847,1,4.505433333,2.758428571,6.75815,67.13338466,0.96545,LG2,LG2,30.92267216,2.69249004,10.49524401,77
Ir,2.253818182,1,25.66666667,15.71428571,38.5,382.4471652,5.5,Mg,Mg,176.1610615,15.33864542,59.78957177,77
Pt,11.24863884,20,5.142666667,3.148571429,7.714,76.62850473,1.102,L$\beta$2,L$\beta$2,35.29627088,3.073306773,11.97965602,78
Pt,13.27052778,,4.359133333,2.668857143,6.5387,64.95343582,0.9341,Al2,Al2,29.91855411,2.605059761,10.15444345,78
Pt,3.295055821,,17.556,10.74857143,26.334,261.593861,3.762,Am1,Am1,120.4941661,10.49163347,40.89606709,78
Au,14.35054411,,4.031066667,2.468,6.0466,60.06506569,0.8638,Al1,Al1,27.66689545,2.409003984,9.390224017,79
Hg,11.56106023,4,5.003693333,3.063485714,7.50554,74.55772717,1.07222,L$\beta$4,L_4,34.3424388,2.99025498,11.65592266,80
Hg,8.719752392,3,6.634133333,4.061714286,9.9512,98.85216182,1.4216,L$\iota$,L_,45.53283002,3.964621514,15.45397368,80
Hg,14.84017718,,3.898066667,2.386571429,5.8471,58.08329401,0.8353,Al1,Al1,26.75406086,2.329521912,9.080405327,80
Hg,2.194914654,100,26.35546667,16.136,39.5332,392.7106564,5.6476,MA,MA,180.8885838,15.75027888,61.39410646,80
Pb,13.01280705,1,4.445466667,2.721714286,6.6682,66.23984901,0.9526,L$\beta$5,L_5,30.51109586,2.656653386,10.35555383,82
Bi,2.570184532,1,22.50733333,13.78,33.761,335.3713959,4.823,M4-O2,M4-O2,154.4772363,13.45059761,52.43001902,83
Rn,16.76766584,10,3.449973333,2.112228571,5.17496,51.40646187,0.73928,LG1,LG1,23.67860901,2.061737052,8.036588112,86
Ra,15.44095665,,3.7464,2.293714286,5.6196,55.82337895,0.8028,Al3,Al3,25.71310913,2.238884462,8.727103312,88
Th,12.9665272,100,4.461333333,2.731428571,6.692,66.47627089,0.956,L$\alpha$1,L_1,30.61999542,2.666135458,10.39251466,90
Pa,16.02171384,20,3.6106,2.210571429,5.4159,53.79988576,0.7737,L$\beta$2,L$\beta$2,24.78105697,2.157729084,8.410762123,91
Pa,20.09401848,2,2.878866667,1.762571429,4.3183,42.89666476,0.6169,LG3,LG3,19.75886525,1.720438247,6.706215786,91
Pa,3.465473861,5,16.69266667,10.22,25.039,248.7297291,3.577,Mg,Mg,114.5687486,9.975697211,38.88496331,91
U,16.42550485,20,3.52184,2.156228571,5.28276,52.47731393,0.75468,L$\beta$2,L$\beta$2,24.17185999,2.104685259,8.203998913,92
U,17.16184411,,3.370733333,2.063714286,5.0561,50.22574316,0.7223,Al3,Al3,23.13475177,2.01438247,7.852001398,92
U,2.862817552,1,20.20666667,12.37142857,30.31,301.0902228,4.33,M3-N1,M3-N1,138.6867994,12.07569721,47.07069923,92
Pu,17.5531011,4,3.2956,2.017714286,4.9434,49.10621601,0.7062,L$\beta$4,L_4,22.6190803,1.969482072,7.676981015,94
Pu,17.20471895,1,3.362333333,2.058571429,5.0435,50.10057864,0.7205,L$\beta$15,L$\beta$15,23.07709906,2.00936255,7.832433901,94
Am,12.38114263,3,4.672266667,2.860571429,7.0084,69.61929123,1.0012,L$\iota$,L_,32.06771906,2.792191235,10.88387623,95
Bk,23.38867925,10,2.473333333,1.514285714,3.71,36.85399955,0.53,LG1,LG1,16.97552048,1.478087649,5.761540552,97
Cf,24.06990291,10,2.403333333,1.471428571,3.605,35.81096183,0.515,LG1,LG1,16.49508122,1.43625498,5.598478084,98
Ho,6.718699187,100,8.61,5.271428571,12.915,128.29364,1.845,L$\alpha$1,L_1,59.09402883,5.145418327,20.05668362,67
Ho,9.39802881,,6.155333333,3.768571429,9.233,91.71778379,1.319,Al1,Al1,42.24662549,3.678486056,14.33862639,67
Er,7.938012295,6,7.287466667,4.461714286,10.9312,108.5871806,1.5616,L$\beta$3,L_3,50.01692976,4.355059761,16.97589005,68
Er,9.260421336,,6.2468,3.824571429,9.3702,93.08068642,1.3386,Al2,Al2,42.87439945,3.73314741,14.55169468,68
Tm,8.099843178,50,7.141866667,4.372571429,10.7128,106.4176621,1.5304,L$\beta$1,L$\beta$1,49.01761611,4.268047809,16.63672011,69
Tm,6.340664962,2,9.123333333,5.585714286,13.685,135.9425833,1.955,L$\iota$,L_,62.61725006,5.452191235,21.25247506,69
Tm,7.307669634,1,7.916066667,4.846571429,11.8741,117.9536593,1.6963,L$\eta$,L$\eta$,54.33127431,4.730717131,18.44019102,69
Tm,1.706262904,1,33.90333333,20.75714286,50.855,505.1779373,7.265,Mg,Mg,232.6927477,20.26095618,78.97658889,69
Yb,7.578870139,1,7.6328,4.673142857,11.4492,113.7328333,1.6356,L$\eta$,L$\eta$,52.38709677,4.561434263,17.78033156,70
Hf,7.89765415,100,7.324706667,4.484514286,10.98706,109.1420766,1.56958,L$\alpha$1,L_1,50.27252345,4.377314741,17.06263928,72
W,11.53652862,,5.014333333,3.07,7.5215,74.71626891,1.0745,Al2,Al2,34.41546557,2.996613546,11.68070816,74
Re,2.368360718,,24.42533333,14.95428571,36.638,363.9506295,5.234,Am3,Am3,167.641272,14.59681275,56.89793066,75
Os,8.839511103,10,6.544253333,4.006685714,9.81638,97.51290138,1.40234,L$\alpha$2,L_2,44.91594601,3.910908367,15.24460147,76
Os,12.37866986,,4.6732,2.861142857,7.0098,69.6331984,1.0014,Al2,Al2,32.07412491,2.792749004,10.88605039,76
Os,2.796300474,,20.68733333,12.66571429,31.031,308.2524151,4.433,Am2,Am2,141.9858156,12.36294821,48.19039484,76
Ir,9.097981651,10,6.358333333,3.892857143,9.5375,94.74259319,1.3625,L$\alpha$2,L_2,43.63989934,3.799800797,14.81150755,77
Ir,2.126243568,,27.20666667,16.65714286,40.81,405.3939951,5.83,Am4,Am4,186.7307252,16.25896414,63.37694607,77
Pt,8.266755585,3,6.997666667,4.284285714,10.4965,104.2690044,1.4995,L$\iota$,L_,48.02791123,4.18187251,16.30081143,78
Pt,11.56019771,,5.004066667,3.063714286,7.5061,74.56329004,1.0723,Al3,Al3,34.34500114,2.990478088,11.65679233,78
Pt,2.126973233,50,27.19733333,16.65142857,40.796,405.2549234,5.828,MB,MB,186.6666667,16.25338645,63.35520441,78
Pt,1.920371805,1,30.12333333,18.44285714,45.185,448.8539002,6.455,M3-N1,M3-N1,206.7490277,18.00199203,70.17121559,78
Au,11.60837196,6,4.9833,3.051,7.47495,74.25385551,1.06785,L$\beta$3,L_3,34.20247083,2.978067729,11.60841713,79
Hg,2.03546798,1,28.42,17.4,42.63,423.4733156,6.09,M3-N1,M3-N1,195.0583391,16.98406375,66.20336219,80
Tl,2.503231018,,23.10933333,14.14857143,34.664,344.3415204,4.952,Am4,Am4,158.609014,13.81035857,53.83235625,81
Pb,11.34738789,1,5.097913333,3.121171429,7.64687,75.96165595,1.09241,L$\eta$,L$\eta$,34.98911004,3.046561753,11.87540474,82
Pb,15.8516624,,3.649333333,2.234285714,5.474,54.3770333,0.782,Al1,Al1,25.04690002,2.180876494,8.500990022,82
Bi,10.72912339,10,5.39168,3.301028571,8.08752,80.33893759,1.15536,L$\alpha$2,L_2,37.00535347,3.222119522,12.55972357,83
Bi,15.24516978,10,3.794513333,2.323171429,5.69177,56.54029354,0.81311,LG1,LG1,26.04333105,2.26763745,8.839181582,83
At,11.30289685,10,5.11798,3.133457143,7.67697,76.26066009,1.09671,L$\alpha$2,L_2,35.12683596,3.058553785,11.92214932,85
Ra,15.44230314,6,3.746073333,2.293514286,5.61911,55.81851144,0.80273,L$\beta$3,L_3,25.71086708,2.238689243,8.726342354,88
Ac,15.71042926,50,3.68214,2.254371429,5.52321,54.86587032,0.78903,L$\beta$1,L$\beta$1,25.27206589,2.200482072,8.577411966,89
Th,16.21070252,1,3.568506667,2.1848,5.35276,53.17267241,0.76468,L$\beta$5,L_5,24.49215283,2.132573705,8.312707225,90
Pa,20.35802266,,2.841533333,1.739714286,4.2623,42.34037798,0.6089,Al2,Al2,19.50263098,1.69812749,6.619249136,91
U,13.61240446,100,4.249653333,2.601828571,6.37448,63.32212482,0.91064,L$\alpha$1,L_1,29.16714711,2.539633466,9.899413752,92
Np,15.87399155,1,3.6442,2.231142857,5.4663,54.30054387,0.7809,L$\eta$,L$\eta$,25.01166781,2.177808765,8.489032108,93
Np,21.59205713,,2.679133333,1.640285714,4.0187,39.92053046,0.5741,Al2,Al2,18.3880119,1.601075697,6.240944209,93
Pu,12.12204185,3,4.772133333,2.921714286,7.1582,71.10735838,1.0226,L$\iota$,L_,32.75314573,2.85187251,11.11651202,94
Am,22.35930736,1,2.5872,1.584,3.8808,38.55067425,0.5544,LG2,LG2,17.757035,1.546135458,6.026788834,95
Cf,20.55721393,50,2.814,1.722857143,4.221,41.93011647,0.603,L$\beta$1,L$\beta$1,19.3136582,1.681673307,6.555111232,98
Ho,5.942473634,2,9.734666667,5.96,14.602,145.0517794,2.086,L$\iota$,L_,66.81308625,5.81752988,22.67655395,67
Yb,1.764806378,1,32.77866667,20.06857143,49.168,488.4197978,7.024,Mg,Mg,224.9736902,19.58884462,76.35671856,70
Er,9.087310314,5,6.3658,3.897428571,9.5487,94.85385055,1.3641,LG1,LG1,43.69114619,3.804262948,14.82890088,68
Lu,6.751633987,2,8.568,5.245714286,12.852,127.6678173,1.836,L$\iota$,L_,58.80576527,5.120318725,19.95884614,71
Lu,1.581122449,100,36.58666667,22.4,54.88,545.16105,7.84,MA,MA,251.1095859,21.86454183,85.22731685,71
Hf,10.83168767,1,5.340626667,3.269771429,8.01094,79.57821541,1.14442,LG2,LG2,36.6549531,3.191609562,12.44079668,72
Ta,9.650147134,20,5.99452,3.670114286,8.99178,89.32157846,1.28454,L$\beta$2,L$\beta$2,41.14289636,3.58238247,13.96401755,73
Ta,1.328617363,1,43.54,26.65714286,65.31,648.7694638,9.33,MZ2,MZ2,298.8332189,26.01992032,101.4248554,73
W,8.333837559,10,6.94134,4.2498,10.41201,103.4297067,1.48743,L$\alpha$2,L_2,47.64131778,4.148211155,16.1696005,74
W,11.60608955,1,4.98428,3.0516,7.47642,74.26845804,1.06806,LG2,LG2,34.20919698,2.978653386,11.6107,74
W,2.812797822,,20.566,12.59142857,30.849,306.4444831,4.407,Am1,Am1,141.1530542,12.29043825,47.90775323,74
Re,1.842175658,100,31.402,19.22571429,47.103,467.9067226,6.729,MA,MA,215.5250515,18.76613546,73.14982335,75
Os,2.041501976,,28.336,17.34857143,42.504,422.2216704,6.072,Am4,Am4,194.4818119,16.93386454,66.00768723,76
Ir,10.70641988,50,5.403113333,3.308028571,8.10467,80.50930042,1.15781,L$\beta$1,L$\beta$1,37.08382521,3.228952191,12.58635711,77
Au,11.58266525,20,4.99436,3.057771429,7.49154,74.41865547,1.07022,L$\beta$2,L$\beta$2,34.27838023,2.984677291,11.634181,79
Au,11.91923077,,4.853333333,2.971428571,7.28,72.31728214,1.04,Al3,Al3,33.31045527,2.900398406,11.30566448,79
Tl,12.21124388,50,4.737273333,2.900371429,7.10591,70.5879256,1.01513,L$\beta$1,L$\beta$1,32.51388698,2.831039841,11.03530691,81
Tl,12.64149789,1,4.57604,2.801657143,6.86406,68.18546204,0.98058,L$\beta$5,L_5,31.40727522,2.734685259,10.65971969,81
Tl,3.411117226,,16.95866667,10.38285714,25.438,252.6932724,3.634,Am2,Am2,116.3944178,10.13466135,39.50460069,81
Pb,12.79111762,6,4.522513333,2.768885714,6.78377,67.38788586,0.96911,L$\beta$3,L_3,31.03989934,2.702697211,10.53503125,82
Pb,15.21541672,2,3.801933333,2.327714286,5.7029,56.65085554,0.8147,LG3,LG3,26.09425761,2.272071713,8.856466203,82
Pb,2.6521181,5,21.812,13.35428571,32.718,325.0105545,4.674,Mg,Mg,149.704873,13.03505976,50.81026517,82
Bi,1.900935439,1,30.43133333,18.63142857,45.647,453.4432662,6.521,MZ1,MZ1,208.8629604,18.18605578,70.88869045,83
Ra,14.74468009,4,3.923313333,2.402028571,5.88497,58.45948295,0.84071,L$\beta$4,L_4,26.92733928,2.344609562,9.139216524,88
Ra,19.23351435,,3.007666667,1.841428571,4.5115,44.81585417,0.6445,Al1,Al1,20.64287348,1.797410359,7.006250728,88
Ac,18.40507194,10,3.143046667,1.924314286,4.71457,46.83308913,0.67351,LG1,LG1,21.57204301,1.878314741,7.321613542,89
Pa,14.94394213,1,3.871,2.37,5.8065,57.67998609,0.8295,L$\eta$,L$\eta$,26.56829101,2.313346614,9.017354506,91
U,15.39703636,1,3.757086667,2.300257143,5.63563,55.98261604,0.80509,L$\eta$,L$\eta$,25.78645619,2.245270916,8.751997515,92
U,21.76646181,,2.657666667,1.627142857,3.9865,39.60066556,0.5695,Al1,Al1,18.24067719,1.588247012,6.190938386,92
U,3.170332481,100,18.24666667,11.17142857,27.37,271.8851665,3.91,MA1,MA1,125.2345001,10.90438247,42.50495011,92
Np,17.47884941,,3.3096,2.026285714,4.9644,49.31482355,0.7092,Al3,Al3,22.71516815,1.977848606,7.709593509,93
Pu,3.34394389,100,17.29933333,10.59142857,25.949,257.7693893,3.707,MA1,MA1,118.7325555,10.33824701,40.29817137,94
Pu,18.29073954,50,3.162693333,1.936342857,4.74404,47.12583505,0.67772,L$\beta$1,L$\beta$1,21.7068863,1.890055777,7.367379741,94
Cm,22.7032967,10,2.548,1.56,3.822,37.96657312,0.546,LG1,LG1,17.48798902,1.522709163,5.935473852,96
Bk,18.52914798,20,3.122,1.911428571,4.683,46.51948245,0.669,L$\beta$2,L$\beta$2,21.42759094,1.865737052,7.272586093,97
Cf,15.65151515,100,3.696,2.262857143,5.544,55.07239178,0.792,L$\alpha$1,L_1,25.36719286,2.20876494,8.609698334,98
Er,1.090237467,5,53.06,32.48571429,79.59,790.6225942,11.37,MZ,MZ,364.1729581,31.70916335,123.6013511,68
Er,1.401152933,,41.286,25.27714286,61.929,615.1836491,8.847,Am5,Am5,283.3630748,24.67290837,96.17424389,68
Tm,9.615265281,,6.016266667,3.683428571,9.0244,89.64561552,1.2892,Al2,Al2,41.29215283,3.595378486,14.01467562,69
Yb,1.182824427,2,48.90666667,29.94285714,73.36,728.7356893,10.48,MZ,MZ,335.6668954,29.22709163,113.9263113,70
Lu,7.603555196,10,7.60802,4.657971429,11.41203,113.363598,1.63029,L$\alpha$2,L_2,52.21702128,4.546625498,17.72260745,71
Ta,8.086474921,10,7.153673333,4.3798,10.73051,106.5935878,1.53293,L$\alpha$2,L_2,49.09865019,4.275103586,16.66422332,73
Ta,9.637767359,1,6.00222,3.674828571,9.00333,89.43631261,1.28619,L$\beta$15,L$\beta$15,41.19574468,3.586984064,13.98195442,73
Ta,1.743459916,,33.18,20.31428571,49.77,494.3998808,7.11,Am5,Am5,227.7282086,19.82868526,77.29161005,73
W,12.09719918,,4.781933333,2.927714286,7.1729,71.25338366,1.0247,Al1,Al1,32.82040723,2.857729084,11.13934076,74
Re,9.84458016,4,5.876126667,3.597628571,8.81419,87.55745399,1.25917,L$\beta$4,L_4,40.33031343,3.511629482,13.68822456,75
Re,1.958293839,,29.54,18.08571429,44.31,440.1619192,6.33,Am4,Am4,202.7453672,17.65338645,68.81236169,75
Os,9.335391799,1,6.196633333,3.793857143,9.29495,92.33317605,1.32785,L$\eta$,L$\eta$,42.53008465,3.703167331,14.43483325,76
Ir,12.51047081,10,4.623966667,2.831,6.93595,68.8995952,0.99085,LG1,LG1,31.73621597,2.763326693,10.77136312,77
Au,11.56472739,1,5.002106667,3.062514286,7.50316,74.53408498,1.07188,L$\beta$15,L$\beta$15,34.33154884,2.989306773,11.65222658,79
Au,1.660326815,2,34.84133333,21.33142857,52.262,519.1546428,7.466,MZ1,MZ1,239.1306337,20.82151394,81.16162597,79
Tl,12.24889082,1,4.722713333,2.891457143,7.08407,70.37097375,1.01201,L$\beta$15,L$\beta$15,32.41395562,2.822338645,11.00138991,81
Tl,10.99238266,1,5.262553333,3.221971429,7.89383,78.41488067,1.12769,L$\eta$,L$\eta$,36.11910318,3.144952191,12.25892767,81
Tl,2.952834683,,19.59066667,11.99428571,29.386,291.9114908,4.198,Am3,Am3,134.4589339,11.70756972,45.6357495,81
Pb,10.54969745,100,5.48338,3.357171429,8.22507,81.70531701,1.17501,L$\alpha$1,L_1,37.63472889,3.276920319,12.7733354,82
Pb,12.5989694,1,4.591486667,2.811114286,6.88723,68.4156257,0.98389,L$\beta$15,L$\beta$15,31.51329215,2.743916335,10.69570214,82
