No.,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Total,Comment
100,56.62,1.622,17.78,6.36,0.1769,2.31,3.58,5.07,5.52,0.9451,0,0.0187,100.0026,GProbe Mitte Grid 010x011 Grid 020x021
101,56.89,1.6383,17.89,6.36,0.1686,2.31,3.52,5.12,5.52,0.9195,0,0,100.3363,GProbe Mitte Grid 010x011 Grid 020x021
103,57.13,1.6142,17.89,6.33,0.1609,2.28,3.55,5.09,5.51,0.9293,0,0.0028,100.4872,GProbe Mitte Grid 010x011 Grid 020x021
104,56.74,1.5935,17.82,6.28,0.1352,2.28,3.5,5.1,5.51,0.9575,0,0.0114,99.9277,GProbe Mitte Grid 010x011 Grid 020x021
106,56.67,1.6175,17.86,6.37,0.1695,2.24,3.52,5.07,5.5,0.9321,0.015,0,99.9641,GProbe Mitte Grid 010x011 Grid 020x021
107,56.7,1.6169,17.84,6.42,0.1581,2.27,3.52,5.07,5.49,0.892,0.0079,0,99.9849,GProbe Mitte Grid 010x011 Grid 020x021
109,56.61,1.6005,17.78,6.35,0.1658,2.29,3.47,5.03,5.44,0.94,0,0,99.6764,GProbe Mitte Grid 010x011 Grid 020x021
110,56.69,1.6279,17.8,6.36,0.1621,2.26,3.51,5.04,5.45,0.9457,0,0,99.8458,GProbe Mitte Grid 010x011 Grid 020x021
112,56.55,1.5894,17.8,6.42,0.1611,2.33,3.5,5.06,5.44,0.9324,0,0.0009,99.7839,GProbe Mitte Grid 010x011 Grid 020x021
113,56.92,1.5999,17.81,6.4,0.1425,2.27,3.51,5.09,5.5,0.9073,0,0.0079,100.1575,GProbe Mitte Grid 010x011 Grid 020x021
115,57.16,1.6143,17.89,6.34,0.1676,2.31,3.53,5.02,5.5,0.9516,0.005,0.0043,100.4927,GProbe Mitte Grid 010x011 Grid 020x021
116,56.93,1.6036,17.89,6.39,0.1454,2.28,3.54,5.11,5.49,0.9135,0,0.0159,100.3083,GProbe Mitte Grid 010x011 Grid 020x021
118,56.95,1.6187,17.92,6.3,0.159,2.3,3.56,5.08,5.49,0.9127,0,0,100.2903,GProbe Mitte Grid 010x011 Grid 020x021
119,57.02,1.6089,17.94,6.37,0.1674,2.33,3.55,5.04,5.45,0.9449,0,0.019,100.4401,GProbe Mitte Grid 010x011 Grid 020x021
121,57.15,1.5988,17.97,6.33,0.1583,2.3,3.53,5.04,5.49,0.918,0,0,100.4851,GProbe Mitte Grid 010x011 Grid 020x021
122,57.01,1.5615,17.87,6.36,0.1676,2.27,3.62,5.05,5.48,0.9242,0,0,100.3133,GProbe Mitte Grid 010x011 Grid 020x021
124,57.1,1.6048,17.97,6.29,0.1367,2.29,3.55,5.1,5.51,0.9387,0.0011,0.0136,100.5049,GProbe Mitte Grid 010x011 Grid 020x021
125,56.9,1.6208,17.97,6.31,0.1417,2.3,3.48,5.09,5.57,0.9484,0.0176,0.0164,100.3649,GProbe Mitte Grid 010x011 Grid 020x021
127,56.93,1.6246,17.9,6.27,0.1565,2.26,3.54,5.08,5.49,0.907,0.0046,0.0327,100.1953,GProbe Mitte Grid 010x011 Grid 020x021
128,56.86,1.6076,17.88,6.28,0.1241,2.3,3.51,5.05,5.51,0.9038,0.0215,0.0263,100.0733,GProbe Mitte Grid 010x011 Grid 020x021
130,56.47,1.5892,17.85,6.43,0.1542,2.31,3.53,5.01,5.44,0.8655,0,0,99.649,GProbe Mitte Grid 010x011 Grid 020x021
131,56.51,1.5622,17.78,6.39,0.1537,2.25,3.57,5.08,5.44,0.9379,0,0,99.6739,GProbe Mitte Grid 010x011 Grid 020x021
133,56.6,1.6017,17.79,6.3,0.1381,2.27,3.52,5.02,5.49,0.8669,0,0.0003,99.597,GProbe Mitte Grid 010x011 Grid 020x021
134,56.7,1.6003,17.88,6.3,0.1541,2.31,3.55,5.07,5.46,0.9039,0,0,99.9284,GProbe Mitte Grid 010x011 Grid 020x021
136,56.81,1.6065,17.85,6.26,0.1687,2.28,3.58,5.07,5.48,0.9356,0,0,100.0408,GProbe Mitte Grid 010x011 Grid 020x021
137,56.92,1.5887,17.85,6.37,0.1746,2.28,3.5,5.06,5.51,0.9393,0,0,100.1925,GProbe Mitte Grid 010x011 Grid 020x021
